各政党が獲得した得票数に応じて議席を分配する選挙制度を何という？,1,比例代表制,小選挙区,小選挙区比例代表並立制,大統領制
一つの選挙区で一人を選出する選挙制度を何という？,2,比例代表制, 小選挙区制,小選挙区比例代表並立制,大統領制
各選挙区の議員1人に対しての有権者数に大きな差があることを何という？,3,不平等選挙,普通選挙, 一票の格差,地区の差
内閣が国会に対して行使できることは何？,4,最高裁判所の長官を指名,弾劾裁判,内閣不信任案の決議,衆議院の解散
国会が最高裁判所に対して行使できることは何？,1,弾劾裁判,衆議院の解散,最高裁判所の長官を指名,内閣不信任案の決議
最高裁判所が国会に対して行使できるものは何？,2,弾劾裁判,違憲立法審査,内閣不信任案の決議,衆議院の解散
刑事裁判に国民の中から選ばれた人が裁判員として参加する制度を何という？,3,違憲立法審査権,議院内閣制,裁判員制度,条例
地方公共団体がその議会の議決に基づき、所管事項について制定する法を何という？,4,法律,憲法,閣議,条例
製造物の欠陥により被害を受けた場合に企業側の責任について定めた法律を何という？,1,製造物責任法,消費者基本法,労働基準法,環境基本法
消費者の権利を守る為の法律は何？,2,製造物責任法,消費者基本法,労働基準法,環境基本法
公正で自由な競争が行われるよう監視する機関を何という？,3,公平取引委員会,平等取引委員会,公正取引委員会,公平売買委員会
労働基準の最低限を定めた法律を何という？,4,環境基本法,製造物責任法,消費者基本法,労働基準法
日本における憲法改正する際の条件で正しいものはどれ？,1,両議員の3分の2以上の賛成,衆議院の3分の2以上の賛成,衆議院のの過半数の賛成,両議員の過半数以上の賛成
国民の３つの義務で誤っているものはどれ？,2,納税の義務,公共の義務,教育の義務,勤労の義務
私的な情報を他人から守る権利を何という？,3,自由権,公共の福祉,プライバシーの権利,社会権
他の人との人権を調整する為の原理であり社会の大多数の人々の利益を何という？,4,社会の福祉,公共の公益,社会の公益,公共の福祉
物価が下がる現象。貨幣の価値が上がる現象を何という？,2,インフレーション,デフレーション,クーリングオフ,バリアフリー
経済的困難な人に対し生活保護法に基づいて最低限の生活が送れるよう経済援助することを何という？,3,公共の福祉,公正取引委員会,公的扶助,公衆衛生
人口全体に対し子供の割合が減り高齢者の割合が高まることを何という？,4,一人っ子政策,国民負担,公共の福祉,少子高齢化
商品を購入する際に伴う間接税を何という？,1,消費税,累進課税,法人勢,所得税
日本の環境政策の根幹を定めた法律を何んという？,2,労働基準法,環境基本法,環境衛生法,製造物責任法
限りある資源を有効に活用し環境負荷を減らす社会を何という？,3,少子高齢化社会,公的扶助,循環型社会,公共の福祉
1980年代後半の日本で起きた急激な株価や土地の価格が上昇した現象を何という？,4,資本主義経済,地球温暖化,高度経済成長,バブル経済
日本国憲法の三原則で誤っているものはどれ？,1,天皇主権,基本的人権の尊重,国民主権,平和主義
日本国憲法第1条の記載内容で『天皇は、日本国の（　）であり』（　）の中に入るもの次のうち何？,2,主権,象徴,王政,法の番人
日本国憲法第14条の記載内容で『全ての国民は（　）に平等』（　）の中に入るものは次のうち何？,3,天皇の下,内閣総理大臣の下,法の下,国会議員の下
国や地方自治団体などの情報を国民が自由に手に入れることができる権利を何という？,1,知る権利,生存権,選挙権,参政権
日本国憲法第25条で保障している、健康で文化的な最低限度の生活を営む権利を何という？,2,身体の自由,生存権,自己決定権,参政権
1999年に施行された、社会の様々な活動で男女が対等な関係であり責任を負う社会を目指した法律を何という？,3,普通選挙法,男女雇用機会均等法,男女共同参画社会基本法,男女平等基準法
現在、日本の選挙権の有権者で正しい条件はどれ？,4,満20歳以上の男女,満25歳以上の男女,満20歳以上の男子,満18歳以上の男女
1950年に制定された選挙が公正で適切に行われる為に定めた法律を何という？,1,公職選挙法,普通選挙法,独占禁止法,男女共同参画社会基本法
毎年1回原則として1月に招集される国会を何という？,3,特別国会,緊急集会,通常国会,臨時国会
通常国会の会期は原則として何日間と定められている？,4,30日,60日,90日,150日
刑事事件において罪を犯した疑いがある人を被告人とし、裁判所に起訴する役割がある役職を何という？,2,裁判員,検察官,警察官,裁判官
より公正な裁判を行う為に一つの事件について3回まで裁判を受けることができる制度を何という？,3,起訴,国民審査制,三審制,裁判員制度
最高裁判所裁判官が適正かどうかを国民が審査できる仕組みを何という？,1,国民審査,三審制,裁判員制,再審査制
日本において国債の売買を通じて通貨量を調整し景気や物価を安定させる機関を何という？,2,国会,日本銀行,内閣,関税
1967年に制定された公害問題に対処し国民の生活と健康を守る為に制定された法律は何？,3,公害対策衛生法,環境基本法,公害対策基本法,環境基準法
現在、衆議院の議席数と任期で正しいものはどれ？,3,245議席、4年,245議席、6年,465議席、4年,495議席、6年
現在、参議院の議席数と任期で正しいものはどれ？,2,245議席、4年,245議席、6年,465議席、4年,495議席、6年
